RCA;Asphalt;Additive;TR;HD;WC;OD;GW;SM;AC;EU;CA;NCA;RE;EC;FFD
0;4;0.45;10;100;3;4495;21372;872;135;11592;156;1104;10287;33354;40361
0;4;0.45;10;100;4;5148;24468;997;154;13263;178;1260;11776;38092;46170
0;4;0.45;10;150;1;3191;15180;622;96;8249;112;791;7308;23878;28743
0;4;0.45;10;150;2;3843;18276;747;115;9920;134;948;8797;28616;34552
0;4;0.45;10;150;3;4495;21372;872;135;11592;156;1104;10287;33354;40361
0;4;0.45;10;150;4;5148;24468;997;154;13263;178;1260;11776;38092;46170
0;4;0.45;20;0;1;2984;14197;582;89;7718;105;742;6835;22374;26898
0;4;0.45;20;0;2;3631;17271;706;109;9378;127;897;8314;27079;32667
0;4;0.45;20;0;3;4279;20346;830;128;11038;149;1052;9793;31784;38436
0;4;0.45;20;0;4;4927;23421;954;148;12698;171;1207;11273;36490;44205
0;4;0.45;20;50;1;2984;14197;582;89;7718;105;742;6835;22374;26898
0;4;0.45;20;50;2;3631;17271;706;109;9378;127;897;8314;27079;32667
0;4;0.45;20;50;3;4279;20346;830;128;11038;149;1052;9793;31784;38436
0;4;0.45;20;50;4;4927;23421;954;148;12698;171;1207;11273;36490;44205
0;4;0.45;20;100;1;2984;14197;582;89;7718;105;742;6835;22374;26898
0;4;0.45;20;100;2;3631;17271;706;109;9378;127;897;8314;27079;32667
0;4;0.45;20;100;3;4279;20346;830;128;11038;149;1052;9793;31784;38436
0;4;0.45;20;100;4;4927;23421;954;148;12698;171;1207;11273;36490;44205
0;4;0.45;20;150;1;2984;14197;582;89;7718;105;742;6835;22374;26898
0;4;0.45;20;150;2;3631;17271;706;109;9378;127;897;8314;27079;32667
0;4;0.45;20;150;3;4279;20346;830;128;11038;149;1052;9793;31784;38436
0;4;0.45;20;150;4;4927;23421;954;148;12698;171;1207;11273;36490;44205
0;4;0.45;30;0;1;2776;13213;542;83;7187;98;692;6361;20869;25053
0;4;0.45;30;0;2;3420;16267;666;103;8836;120;846;7831;25542;30782
0;4;0.45;30;0;3;4063;19320;789;122;10484;141;1000;9300;30214;36511
0;4;0.45;30;0;4;4706;22374;912;141;12132;163;1154;10769;34887;42241
0;4;0.45;30;50;1;2776;13213;542;83;7187;98;692;6361;20869;25053
0;4;0.45;30;50;2;3420;16267;666;103;8836;120;846;7831;25542;30782
0;4;0.45;30;50;3;4063;19320;789;122;10484;141;1000;9300;30214;36511
0;4;0.45;30;50;4;4706;22374;912;141;12132;163;1154;10769;34887;42241
0;4;0.45;30;100;1;2776;13213;542;83;7187;98;692;6361;20869;25053
0;4;0.45;30;100;2;3420;16267;666;103;8836;120;846;7831;25542;30782
0;4;0.45;30;100;3;4063;19320;789;122;10484;141;1000;9300;30214;36511
0;4;0.45;30;100;4;4706;22374;912;141;12132;163;1154;10769;34887;42241
0;4;0.45;30;150;1;2776;13213;542;83;7187;98;692;6361;20869;25053
0;4;0.45;30;150;2;3420;16267;666;103;8836;120;846;7831;25542;30782
0;4;0.45;30;150;3;4063;19320;789;122;10484;141;1000;9300;30214;36511
0;4;0.45;30;150;4;4706;22374;912;141;12132;163;1154;10769;34887;42241
0;4;0.45;40;0;1;2569;12230;503;77;6657;91;643;5888;19364;23208
0;4;0.45;40;0;2;3208;15262;625;96;8293;112;796;7347;24004;28898
